,experimental_id,Geno
0,ID13,control
1,ID15,control
2,ID27,control
3,ID29,atg7KO
4,ID31,atg7KO
5,ID33,control
6,ID35,control
7,ID45,control
8,ID47,control
9,ID49,control
10,ID51,control
11,ID57,atg7KO
12,ID59,atg7KO
13,ID61,atg7KO
14,ID63,atg7KO
15,ID75,control
16,ID77,atg7KO
17,ID79,atg7KO
18,ID81,atg7KO
19,ID83,atg7KO
20,ID93,atg7KO
21,ID95,atg7KO
